1485163466766, -28.368, 33866766, class edu.asu.commons.foraging.event.ResourcesAddedEvent, Group #1, [java.awt.Point[x=1,y=4], java.awt.Point[x=8,y=0], java.awt.Point[x=4,y=4], java.awt.Point[x=4,y=1], java.awt.Point[x=2,y=2], java.awt.Point[x=8,y=7], java.awt.Point[x=7,y=3], java.awt.Point[x=6,y=4], java.awt.Point[x=0,y=6], java.awt.Point[x=3,y=0], java.awt.Point[x=0,y=5], java.awt.Point[x=7,y=5], java.awt.Point[x=8,y=4], java.awt.Point[x=4,y=8], java.awt.Point[x=5,y=0], java.awt.Point[x=6,y=8], java.awt.Point[x=5,y=5], java.awt.Point[x=7,y=7], java.awt.Point[x=2,y=3], java.awt.Point[x=5,y=6]]
1485163495134, 0.000, class edu.asu.commons.event.RoundStartedMarkerEvent - id: system identifier, created on 1485163495134
1485163495298, 0.164, 33895298, BotIdentifier uid: 14851634667664, 6, 4, 1, 1, token collected event
1485163495455, 0.321, 33895455, BotIdentifier uid: 14851634667664, 1, 1, 5, 6, right, movement event
1485163495614, 0.480, 33895614, BotIdentifier uid: 14851634667664, 1, 2, 5, 5, up, movement event
1485163495772, 0.638, 33895772, BotIdentifier uid: 14851634667664, 7, 3, 1, 2, token collected event
1485163496163, 1.029, 33896163, class edu.asu.commons.foraging.event.ResourcesAddedEvent, Group #1, []
1485163496402, 1.268, 33896402, BotIdentifier uid: 14851634667664, 1, 3, 6, 5, right, movement event
1485163496556, 1.422, 33896556, BotIdentifier uid: 14851634667664, 1, 4, 6, 6, down, movement event
1485163496847, 1.713, 33896847, Station 1 (uid: 1), 1, 1, 2, 3, up, movement event
1485163496873, 1.739, 33896873, BotIdentifier uid: 14851634667664, 8, 4, 1, 3, token collected event
1485163497187, 2.053, 33897187, Station 1 (uid: 1), 2, 3, 1, 1, token collected event
1485163497188, 2.054, 33897188, class edu.asu.commons.foraging.event.ResourcesAddedEvent, Group #1, [java.awt.Point[x=4,y=3], java.awt.Point[x=7,y=8]]
1485163497350, 2.216, 33897350, BotIdentifier uid: 14851634667664, 1, 5, 5, 6, left, movement event
1485163497375, 2.241, 33897375, Station 1 (uid: 1), 1, 2, 2, 2, up, movement event
1485163497510, 2.376, 33897510, BotIdentifier uid: 14851634667664, 1, 6, 5, 7, down, movement event
1485163497591, 2.457, 33897591, Station 1 (uid: 1), 2, 2, 1, 2, token collected event
1485163497668, 2.534, 33897668, BotIdentifier uid: 14851634667664, 7, 5, 1, 4, token collected event
1485163498007, 2.873, 33898007, Station 1 (uid: 1), 1, 3, 3, 2, right, movement event
1485163498207, 3.073, 33898207, Station 1 (uid: 1), 1, 4, 4, 2, right, movement event
