1485163512316, -9.356, 33912316, class edu.asu.commons.foraging.event.ResourcesAddedEvent, Group #1, [java.awt.Point[x=0,y=0], java.awt.Point[x=0,y=2], java.awt.Point[x=2,y=0], java.awt.Point[x=8,y=8], java.awt.Point[x=1,y=4], java.awt.Point[x=7,y=3], java.awt.Point[x=5,y=4], java.awt.Point[x=2,y=7], java.awt.Point[x=3,y=5], java.awt.Point[x=4,y=3], java.awt.Point[x=1,y=3], java.awt.Point[x=8,y=5], java.awt.Point[x=2,y=5], java.awt.Point[x=0,y=1], java.awt.Point[x=0,y=4], java.awt.Point[x=1,y=2], java.awt.Point[x=5,y=2], java.awt.Point[x=6,y=0], java.awt.Point[x=6,y=8], java.awt.Point[x=1,y=5]]
1485163521672, 0.000, class edu.asu.commons.event.RoundStartedMarkerEvent - id: system identifier, created on 1485163521672
1485163521835, 0.163, 33921835, BotIdentifier uid: 14851635123165, 1, 1, 1, 8, left, movement event
1485163522151, 0.479, 33922151, BotIdentifier uid: 14851635123165, 5, 4, 1, 1, token collected event
1485163522707, 1.035, 33922707, class edu.asu.commons.foraging.event.ResourcesAddedEvent, Group #1, [java.awt.Point[x=1,y=1], java.awt.Point[x=3,y=6], java.awt.Point[x=7,y=8]]
1485163523109, 1.437, 33923109, BotIdentifier uid: 14851635123165, 1, 2, 0, 8, left, movement event
1485163523240, 1.568, 33923240, Station 1 (uid: 1), 1, 1, 2, 3, up, movement event
1485163523261, 1.589, 33923261, BotIdentifier uid: 14851635123165, 1, 3, 0, 7, up, movement event
1485163523400, 1.728, 33923400, Station 1 (uid: 1), 1, 2, 1, 3, left, movement event
1485163523418, 1.746, 33923418, BotIdentifier uid: 14851635123165, 4, 3, 1, 2, token collected event
1485163523578, 1.906, 33923578, Station 1 (uid: 1), 1, 3, 1, 1, token collected event
1485163523735, 2.063, 33923735, class edu.asu.commons.foraging.event.ResourcesAddedEvent, Group #1, []
1485163523792, 2.120, 33923792, Station 1 (uid: 1), 1, 3, 1, 2, up, movement event
1485163523894, 2.222, 33923894, BotIdentifier uid: 14851635123165, 1, 4, 1, 7, right, movement event
1485163523972, 2.300, 33923972, Station 1 (uid: 1), 1, 2, 1, 2, token collected event
1485163524032, 2.360, 33924032, Station 1 (uid: 1), 1, 4, 1, 1, up, movement event
1485163524052, 2.380, 33924052, BotIdentifier uid: 14851635123165, 1, 5, 1, 6, up, movement event
