Participant, Group, Total Cumulative Tokens, Sanction costs, Sanction penalties,
Station 1 (uid: 1), #1, Group #3,257,0,0
Group Group #3,0,257,,,
=========================================,,,,,
Time, Participant, Token Collected?, Chat,,
0.173, BotIdentifier uid: 148516385571515, token collected,,,
0.486, BotIdentifier uid: 148516385571515, token collected,,,
1.591, BotIdentifier uid: 148516385571515, token collected,,,
2.538, BotIdentifier uid: 148516385571515, token collected,,,
3.48, BotIdentifier uid: 148516385571515, token collected,,,
3.949, BotIdentifier uid: 148516385571515, token collected,,,
4.025, Station 1 (uid: 1), token collected,,,
4.74, Station 1 (uid: 1), token collected,,,
5.056, BotIdentifier uid: 148516385571515, token collected,,,
5.298, Station 1 (uid: 1), token collected,,,
6.166, Station 1 (uid: 1), token collected,,,
6.167, BotIdentifier uid: 148516385571515, token collected,,,
6.641, Station 1 (uid: 1), token collected,,,
6.954, BotIdentifier uid: 148516385571515, token collected,,,
7.43, Station 1 (uid: 1), token collected,,,
7.588, BotIdentifier uid: 148516385571515, token collected,,,
7.746, Station 1 (uid: 1), token collected,,,
8.215, Station 1 (uid: 1), token collected,,,
8.692, BotIdentifier uid: 148516385571515, token collected,,,
9.091, Station 1 (uid: 1), token collected,,,
9.641, Station 1 (uid: 1), token collected,,,
10.034, Station 1 (uid: 1), token collected,,,
10.667, Station 1 (uid: 1), token collected,,,
10.746, BotIdentifier uid: 148516385571515, token collected,,,
10.981, Station 1 (uid: 1), token collected,,,
11.376, BotIdentifier uid: 148516385571515, token collected,,,
11.695, Station 1 (uid: 1), token collected,,,
11.695, BotIdentifier uid: 148516385571515, token collected,,,
12.243, Station 1 (uid: 1), token collected,,,
12.56, Station 1 (uid: 1), token collected,,,
12.958, Station 1 (uid: 1), token collected,,,
13.118, BotIdentifier uid: 148516385571515, token collected,,,
13.985, Station 1 (uid: 1), token collected,,,
14.065, BotIdentifier uid: 148516385571515, token collected,,,
15.012, Station 1 (uid: 1), token collected,,,
15.169, BotIdentifier uid: 148516385571515, token collected,,,
15.483, Station 1 (uid: 1), token collected,,,
15.88, Station 1 (uid: 1), token collected,,,
15.961, BotIdentifier uid: 148516385571515, token collected,,,
17.07, BotIdentifier uid: 148516385571515, token collected,,,
17.146, Station 1 (uid: 1), token collected,,,
17.629, Station 1 (uid: 1), token collected,,,
17.866, BotIdentifier uid: 148516385571515, token collected,,,
18.344, BotIdentifier uid: 148516385571515, token collected,,,
18.664, Station 1 (uid: 1), token collected,,,
19.137, BotIdentifier uid: 148516385571515, token collected,,,
19.295, Station 1 (uid: 1), token collected,,,
19.851, Station 1 (uid: 1), token collected,,,
20.09, BotIdentifier uid: 148516385571515, token collected,,,
20.403, BotIdentifier uid: 148516385571515, token collected,,,
